Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,text
45051287,2019-12-01T01:56:52.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,2076 CRESTON AVENUE,CRESTON AVENUE,EAST BURNSIDE AVENUE,EAST  180 STREET,EAST BURNSIDE AVENUE,EAST  180 STREET,,BRONX,CRESTON AVENUE,,In Progress,,,,05 BRONX,2031600014,BRONX,1010820,250314,ONLINE,Unspecified,BRONX,,,,,,,,40.85368904676198,-73.90395513624917,"{'longitude': '-73.90395513624917', 'latitude': '40.85368904676198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45053693,2019-12-01T01:56:45.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,739 EASTERN PARKWAY,EASTERN PARKWAY,BROOKLYN AVENUE,KINGSTON AVENUE,BROOKLYN AVENUE,KINGSTON AVENUE,,BROOKLYN,EASTERN PARKWAY,,In Progress,,,,08 BROOKLYN,3012640059,BROOKLYN,999856,183197,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66949643192399,-73.94374344596956,"{'longitude': '-73.94374344596956', 'latitude': '40.66949643192399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45054314,2019-12-01T01:55:59.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,150-22 130 STREET,130 STREET,150 AVENUE,OLD SOUTH ROAD,150 AVENUE,OLD SOUTH ROAD,,SOUTH OZONE PARK,130 STREET,,In Progress,,,,10 QUEENS,4118980051,QUEENS,1036660,181488,MOBILE,Unspecified,QUEENS,,,,,,,,40.664664242718636,-73.81108583313846,"{'longitude': '-73.81108583313846', 'latitude': '40.664664242718636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45052851,2019-12-01T01:55:14.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,430 GRAND AVENUE,GRAND AVENUE,GATES AVENUE,PUTNAM AVENUE,GATES AVENUE,PUTNAM AVENUE,,BROOKLYN,GRAND AVENUE,,In Progress,,,,02 BROOKLYN,3019810061,BROOKLYN,994828,188332,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68359828218917,-73.96186033260072,"{'longitude': '-73.96186033260072', 'latitude': '40.68359828218917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45050521,2019-12-01T01:54:07.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11426,88-49 237 STREET,237 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,,BELLEROSE,237 STREET,,In Progress,,,,13 QUEENS,4079760001,QUEENS,1059083,205168,ONLINE,Unspecified,QUEENS,,,,,,,,40.729498896965936,-73.72999847973517,"{'longitude': '-73.72999847973517', 'latitude': '40.729498896965936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Illegal Parking Commercial Overnight Parking
45052028,2019-12-01T01:53:53.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,129 WEST  169 STREET,WEST  169 STREET,NELSON AVENUE,PLIMPTON AVENUE,NELSON AVENUE,PLIMPTON AVENUE,,BRONX,WEST  169 STREET,,In Progress,,,,04 BRONX,2025210078,BRONX,1005188,245322,PHONE,Unspecified,BRONX,,,,,,,,40.84000263402706,-73.92432918761958,"{'longitude': '-73.92432918761958', 'latitude': '40.84000263402706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45050694,2019-12-01T01:53:46.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,10472,1153 WHEELER AVENUE,WHEELER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,BRONX,WHEELER AVENUE,,In Progress,,,,09 BRONX,2037380057,BRONX,1017507,240695,PHONE,Unspecified,BRONX,,,,,,,,40.827265063323395,-73.87983078926109,"{'longitude': '-73.87983078926109', 'latitude': '40.827265063323395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45053717,2019-12-01T01:53:38.000,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10030,115 WEST  137 STREET,WEST  137 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,,NEW YORK,WEST  137 STREET,,In Progress,,,,10 MANHATTAN,1020060022,MANHATTAN,1000680,236472,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81572145450082,-73.94064295645731,"{'longitude': '-73.94064295645731', 'latitude': '40.81572145450082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Vehicle Car/Truck Music
45050451,2019-12-01T01:52:59.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10314,36 BOWLING GREEN PLACE,BOWLING GREEN PLACE,ROCKVILLE AVENUE,MULBERRY AVENUE,ROCKVILLE AVENUE,MULBERRY AVENUE,,STATEN ISLAND,BOWLING GREEN PLACE,,In Progress,,,,02 STATEN ISLAND,5021160060,STATEN ISLAND,938225,156167,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.59519906383614,-74.16572653412616,"{'longitude': '-74.16572653412616', 'latitude': '40.59519906383614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Banging/Pounding
45049052,2019-12-01T01:52:51.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11219,1465 61 STREET,61 STREET,NEW UTRECHT AVENUE,15 AVENUE,NEW UTRECHT AVENUE,15 AVENUE,,BROOKLYN,61 STREET,,In Progress,,,,12 BROOKLYN,3057200054,BROOKLYN,985518,167355,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.626027235388,-73.99543208726179,"{'longitude': '-73.99543208726179', 'latitude': '40.626027235388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45051292,2019-12-01T01:52:50.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,34-70 107 STREET,107 STREET,34 AVENUE,37 AVENUE,34 AVENUE,37 AVENUE,,CORONA,107 STREET,,In Progress,,,,03 QUEENS,4017480144,QUEENS,1022661,214268,ONLINE,Unspecified,QUEENS,,,,,,,,40.75470924703071,-73.86135874094896,"{'longitude': '-73.86135874094896', 'latitude': '40.75470924703071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45052250,2019-12-01T01:52:50.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,37-13 85 STREET,85 STREET,37 AVENUE,FORLEY STREET,37 AVENUE,FORLEY STREET,,JACKSON HEIGHTS,85 STREET,,In Progress,,,,03 QUEENS,4014730071,QUEENS,1017106,212378,MOBILE,Unspecified,QUEENS,,,,,,,,40.74954406701735,-73.88141825228973,"{'longitude': '-73.88141825228973', 'latitude': '40.74954406701735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45054413,2019-12-01T01:52:31.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,1420 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  130 STREET,WEST  131 STREET,WEST  130 STREET,WEST  131 STREET,,NEW YORK,AMSTERDAM AVENUE,,In Progress,,,,09 MANHATTAN,1019840001,MANHATTAN,996872,236555,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81595552782531,-73.95440004776522,"{'longitude': '-73.95440004776522', 'latitude': '40.81595552782531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Banging/Pounding
45052770,2019-12-01T01:51:43.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,130 STREET,130 STREET,130 STREET,OLD SOUTH ROAD,130 STREET,OLD SOUTH ROAD,,,,,In Progress,,,,10 QUEENS,,QUEENS,1036611,181272,PHONE,Unspecified,QUEENS,,,,,,,,40.66407166188916,-73.81126413278163,"{'longitude': '-73.81126413278163', 'latitude': '40.66407166188916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45052816,2019-12-01T01:51:33.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11357,9-11 151 PLACE,151 PLACE,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,,WHITESTONE,151 PLACE,,In Progress,,,,07 QUEENS,4045250015,QUEENS,1036412,228555,MOBILE,Unspecified,QUEENS,,,,,,,,40.79385279685731,-73.81161490061255,"{'longitude': '-73.81161490061255', 'latitude': '40.79385279685731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45050673,2019-12-01T01:51:29.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2670 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,,BRONX,BAINBRIDGE AVENUE,,In Progress,,,,07 BRONX,2032870031,BRONX,1014268,254610,PHONE,Unspecified,BRONX,,,,,,,,40.86546921715945,-73.89147212650845,"{'longitude': '-73.89147212650845', 'latitude': '40.86546921715945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45054998,2019-12-01T01:50:55.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11426,88-28 237 STREET,237 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,,BELLEROSE,237 STREET,,In Progress,,,,13 QUEENS,4079750049,QUEENS,1059100,205248,ONLINE,Unspecified,QUEENS,,,,,,,,40.72971833252622,-73.72993625330977,"{'longitude': '-73.72993625330977', 'latitude': '40.72971833252622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Illegal Parking Commercial Overnight Parking
45051502,2019-12-01T01:50:52.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,84-10 34 AVENUE,34 AVENUE,84 STREET,85 STREET,84 STREET,85 STREET,,JACKSON HEIGHTS,34 AVENUE,,In Progress,,,,03 QUEENS,4014450001,QUEENS,1016674,213979,ONLINE,Unspecified,QUEENS,,,,,,,,40.753939997619135,-73.88296967711675,"{'longitude': '-73.88296967711675', 'latitude': '40.753939997619135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45049268,2019-12-01T01:50:38.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,11212,955 RUTLAND ROAD,RUTLAND ROAD,EAST   91 STREET,EAST   92 STREET,EAST   91 STREET,EAST   92 STREET,,BROOKLYN,RUTLAND ROAD,,In Progress,,,,17 BROOKLYN,3045940064,BROOKLYN,1004272,180377,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66174727511944,-73.9278330176624,"{'longitude': '-73.9278330176624', 'latitude': '40.66174727511944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45049106,2019-12-01T01:50:04.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,115 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,KOSSUTH AVENUE,STEUBEN AVENUE,KOSSUTH AVENUE,STEUBEN AVENUE,,BRONX,EAST MOSHOLU PARKWAY NORTH,,In Progress,,,,07 BRONX,2033260001,BRONX,1016868,258955,MOBILE,Unspecified,BRONX,,,,,,,,40.877385676249666,-73.88205087634928,"{'longitude': '-73.88205087634928', 'latitude': '40.877385676249666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45050551,2019-12-01T01:49:47.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10040,1 ARDEN STREET,ARDEN STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,,NEW YORK,ARDEN STREET,,In Progress,,,,12 MANHATTAN,1021740077,MANHATTAN,1004530,253065,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.86125640378806,-73.9266838048094,"{'longitude': '-73.9266838048094', 'latitude': '40.86125640378806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45049221,2019-12-01T01:49:39.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,1346 HANCOCK STREET,HANCOCK STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,,BROOKLYN,HANCOCK STREET,,In Progress,,,,04 BROOKLYN,3033990021,BROOKLYN,1009519,192337,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69456133221392,-73.90887598146561,"{'longitude': '-73.90887598146561', 'latitude': '40.69456133221392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45050473,2019-12-01T01:49:32.000,,TLC,Taxi and Limousine Commission,Lost Property,Other,,10025,BROADWAY,BROADWAY,BROADWAY,WEST  110 STREET,BROADWAY,WEST  110 STREET,,,,,In Progress,,,,07 MANHATTAN,,MANHATTAN,993469,232259,PHONE,Unspecified,MANHATTAN,,,"BROADWAY AND WEST  110 STREET, MANHATTAN, NY, 10025",,,,,40.80416840751694,-73.96670008656616,"{'longitude': '-73.96670008656616', 'latitude': '40.80416840751694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Lost Property Other
45052954,2019-12-01T01:49:11.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,559 WEST  186 STREET,WEST  186 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,,NEW YORK,WEST  186 STREET,,In Progress,,,,12 MANHATTAN,1021570095,MANHATTAN,1003436,249705,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.852036656932725,-73.93064844557063,"{'longitude': '-73.93064844557063', 'latitude': '40.852036656932725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45053975,2019-12-01T01:48:45.000,2019-12-01T01:55:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,205 2 AVENUE,2 AVENUE,EAST   12 STREET,EAST   13 STREET,EAST   12 STREET,EAST   13 STREET,,NEW YORK,2 AVENUE,,Closed,,Your request can not be processed at this time because of insufficient contact information. Please c,2019-12-01T06:55:45.000,03 MANHATTAN,1004680035,MANHATTAN,988249,205782,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.731499823118334,-73.98557098076117,"{'longitude': '-73.98557098076117', 'latitude': '40.731499823118334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party Your request can not be processed at this time because of insufficient contact information. Please c
45050211,2019-12-01T01:48:31.000,2019-12-01T01:54:32.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009,25 AVENUE B,AVENUE B,EAST    2 STREET,EAST    3 STREET,EAST    2 STREET,EAST    3 STREET,,NEW YORK,AVENUE B,,Closed,,Your request can not be processed at this time because of insufficient contact information. Please c,2019-12-01T06:54:35.000,03 MANHATTAN,1003850004,MANHATTAN,988903,202436,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.722315548012524,-73.98321355978932,"{'longitude': '-73.98321355978932', 'latitude': '40.722315548012524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Commercial Loud Music/Party Your request can not be processed at this time because of insufficient contact information. Please c
45051273,2019-12-01T01:48:28.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,5 BUCHANAN PLACE,BUCHANAN PLACE,JEROME AVENUE,DAVIDSON AVENUE,JEROME AVENUE,DAVIDSON AVENUE,,BRONX,BUCHANAN PLACE,,In Progress,,,,05 BRONX,2031960086,BRONX,1010654,251814,ONLINE,Unspecified,BRONX,,,,,,,,40.85780659436769,-73.90454928194752,"{'longitude': '-73.90454928194752', 'latitude': '40.85780659436769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45050009,2019-12-01T01:48:20.000,2019-12-01T01:54:57.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10003,125 EAST   11 STREET,EAST   11 STREET,4 AVENUE,3 AVENUE,4 AVENUE,3 AVENUE,,NEW YORK,EAST   11 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2019-12-01T06:55:00.000,03 MANHATTAN,1005560068,MANHATTAN,987107,205887,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"{'longitude': '-73.9896914512527', 'latitude': '40.73178846496097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Commercial Loud Music/Party The Police Department responded to the complaint and took action to fix the condition.
45049302,2019-12-01T01:48:01.000,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11434,118-39 152 STREET,152 STREET,118 AVENUE,119 AVENUE,118 AVENUE,119 AVENUE,,JAMAICA,152 STREET,,In Progress,,,,12 QUEENS,4122060001,QUEENS,1042435,187105,MOBILE,Unspecified,QUEENS,,,,,,,,40.68004553567846,-73.79022117842649,"{'longitude': '-73.79022117842649', 'latitude': '40.68004553567846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Blocked Driveway No Access
45052819,2019-12-01T01:47:49.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,30 WESTMINSTER ROAD,WESTMINSTER ROAD,CATON AVENUE,CHURCH AVENUE,CATON AVENUE,CHURCH AVENUE,,BROOKLYN,WESTMINSTER ROAD,,In Progress,,,,14 BROOKLYN,3050720017,BROOKLYN,992949,175528,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64845619600287,-73.96865170997522,"{'longitude': '-73.96865170997522', 'latitude': '40.64845619600287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45052148,2019-12-01T01:47:10.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11426,88-27 237 STREET,237 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,,BELLEROSE,237 STREET,,In Progress,,,,13 QUEENS,4079760011,QUEENS,1059108,205254,ONLINE,Unspecified,QUEENS,,,,,,,,40.72973473328037,-73.72990732221467,"{'longitude': '-73.72990732221467', 'latitude': '40.72973473328037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Illegal Parking Commercial Overnight Parking
